序号,电影名字,电影评分,电影短评,播放状态,免费播放资源,播放链接,电影详细资料
114,哈利·波特与魔法石,8.6,童话世界的开端。,可播放,付费,,https://movie.douban.com/subject/1295038/
115,借东西的小人阿莉埃蒂,8.7,曾经的那段美好会沉淀为一辈子的记忆。,可播放,乐视视频,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.le.com%2Fptv%2Fvplay%2F2076387.html%3Fch%3Ddouban_mf&amp;subtype=6&amp;type=online-video&amp;link2key=8c8e98b2d6,https://movie.douban.com/subject/4202302/
116,末代皇帝,8.8,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,不可播放,,,https://movie.douban.com/subject/1293172/
117,真爱至上,8.5,爱，是个动词。,可播放,付费,,https://movie.douban.com/subject/1292401/
118,雨人,8.6,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,可播放,爱奇艺视频,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrho3bfg.html%3Fvfm%3Dm_331_dbdy&amp;subtype=9&amp;type=online-video&amp;link2key=ceb1106602,https://movie.douban.com/subject/1291870/
119,岁月神偷,8.6,岁月流逝，来日可追。,不可播放,,,https://movie.douban.com/subject/3792799/
120,贫民窟的百万富翁,8.5,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,可播放,乐视视频,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.le.com%2Fptv%2Fvplay%2F26888897.html%3Fch%3Ddouban_mf&amp;subtype=6&amp;type=online-video&amp;link2key=d012bf21b2,https://movie.douban.com/subject/2209573/
121,倩女幽魂,8.6,两张绝世的脸。 ,可播放,腾讯视频,https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fcover%2Fi%2Fifkyvtji4a4a5hl.html%3Fptag%3Ddouban.movie&amp;subtype=1&amp;type=online-video,https://movie.douban.com/subject/1297447/
122,记忆碎片,8.5,一个针管引发的血案。,可播放,腾讯视频,https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fg9026xzb9g0tqp9.html%3Fptag%3Ddouban.movie&amp;subtype=1&amp;type=online-video,https://movie.douban.com/subject/1304447/
123,疯狂原始人,8.7,老少皆宜，这就是好莱坞动画的魅力。,可播放,优酷视频,https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNTc3OTU5NzI4.html%3Ftpa%3DdW5pb25faWQ9MTAzNTY1XzEwMDAwMV8wMV8wMQ&amp;subtype=3&amp;type=online-video,https://movie.douban.com/subject/1907966/
124,东邪西毒,8.5,电影诗。,可播放,腾讯视频,https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fv6vzx50c3blls29.html%3Fptag%3Ddouban.movie&amp;subtype=1&amp;type=online-video,https://movie.douban.com/subject/1292328/
125,穿条纹睡衣的男孩,8.8,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,可播放,付费,,https://movie.douban.com/subject/3008247/
126,七武士,9.1,时代悲歌。,可播放,优酷视频,https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMzQ3NzA5OTA0.html%3Ftpa%3DdW5pb25faWQ9MTAzNTY1XzEwMDAwMV8wMV8wMQ&amp;subtype=3&amp;type=online-video,https://movie.douban.com/subject/1295399/
127,怪兽电力公司,8.6,不要给它起名字，起了名字就有感情了。,可播放,优酷视频,https://www.douban.com/link2/?url=http%3A%2F%2Fcps.youku.com%2Fredirect.html%3Fid%3D0000a213%26url%3Dhttp%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMTQxOTc2NzgyMA%3D%3D.html&amp;subtype=3&amp;type=online-video,https://movie.douban.com/subject/1291579/
128,穿越时空的少女,8.6,爱上未来的你。 ,不可播放,,,https://movie.douban.com/subject/1937946/
129,魂断蓝桥,8.8,中国式内在的美国电影。,可播放,付费,,https://movie.douban.com/subject/1293964/
130,杀人回忆,8.6,关于连环杀人悬案的集体回忆。,可播放,付费,,https://movie.douban.com/subject/1300299/
131,恐怖直播,8.7,恐怖分子的“秋菊打官司”。,可播放,优酷视频,https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNzExMDU3ODAw.html%3Ftpa%3DdW5pb25faWQ9MTAzNTY1XzEwMDAwMV8wMV8wMQ&amp;subtype=3&amp;type=online-video,https://movie.douban.com/subject/21360417/
132,消失的爱人,8.7,无,可播放,付费,,https://movie.douban.com/subject/21318488/
133,恋恋笔记本,8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,可播放,付费,,https://movie.douban.com/subject/1309163/
134,卢旺达饭店,8.8,当这个世界闭上双眼，他却敞开了怀抱。,可播放,优酷视频,https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMzU3NTY5MDgw.html%3Ftpa%3DdW5pb25faWQ9MTAzNTY1XzEwMDAwMV8wMV8wMQ&amp;subtype=3&amp;type=online-video,https://movie.douban.com/subject/1291822/
135,猜火车,8.5,不可猜的青春迷笛。 ,可播放,付费,,https://movie.douban.com/subject/1292528/
136,黑天鹅,8.5,黑暗之美。,可播放,付费,,https://movie.douban.com/subject/1978709/
137,红辣椒,8.8,梦的勾结。,不可播放,,,https://movie.douban.com/subject/1865703/
138,傲慢与偏见,8.4,爱是摈弃傲慢与偏见之后的曙光。,可播放,付费,,https://movie.douban.com/subject/1418200/
139,教父3,8.7,任何信念的力量，都无法改变命运。,可播放,付费,,https://movie.douban.com/subject/1294240/
140,英雄本色,8.7,英雄泪短，兄弟情长。 ,可播放,优酷视频,https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNzk4OTY0ODIw.html%3Ftpa%3DdW5pb25faWQ9MTAzNTY1XzEwMDAwMV8wMV8wMQ&amp;subtype=3&amp;type=online-video,https://movie.douban.com/subject/1297574/
141,完美的世界,9.0,坏人的好总是比好人的好来得更感人。,可播放,付费,,https://movie.douban.com/subject/1300992/
142,玩具总动员3,8.7,跨度十五年的欢乐与泪水。,可播放,优酷视频,https://www.douban.com/link2/?url=http%3A%2F%2Fcps.youku.com%2Fredirect.html%3Fid%3D0000a213%26url%3Dhttp%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMTQxOTgwNDc0MA%3D%3D.html&amp;subtype=3&amp;type=online-video,https://movie.douban.com/subject/1858711/
143,人工智能,8.6,对爱的执着，可以超越一切。,可播放,付费,,https://movie.douban.com/subject/1302827/
144,喜宴,8.7,中国家庭的喜怒哀乐忍。,不可播放,,,https://movie.douban.com/subject/1303037/
145,我是山姆,8.8,爱并不需要智商 。,可播放,付费,,https://movie.douban.com/subject/1306861/
146,纵横四海,8.7,香港浪漫主义警匪动作片的巅峰之作。,可播放,爱奇艺视频,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.iqiyi.com%2Fdianying%2F20120812%2F2bc94ff6d1f41b53.html%3Fvfm%3Dm_331_dbdy&amp;subtype=9&amp;type=online-video&amp;link2key=609a494b27,https://movie.douban.com/subject/1295409/
147,雨中曲,8.9,骨灰级歌舞片。,可播放,付费,,https://movie.douban.com/subject/1293460/
148,萤火之森,8.8,触不到的恋人。,可播放,付费,,https://movie.douban.com/subject/5989818/
149,香水,8.4,一个单凭体香达到高潮的男人。,不可播放,,,https://movie.douban.com/subject/1760622/
150,冰川时代,8.4,松鼠才是角儿。,可播放,付费,,https://movie.douban.com/subject/1291578/
